soil_soc_0-5cm,soil_soc_5-15cm,soil_soc_15-30cm,soil_soc_30-60cm,soil_soc_60-100cm,soil_soc_100-200cm,soil_cec_0-5cm,soil_cec_5-15cm,soil_cec_15-30cm,soil_cec_30-60cm,soil_cec_60-100cm,soil_cec_100-200cm,soil_phh2o_0-5cm,soil_phh2o_5-15cm,soil_phh2o_15-30cm,soil_phh2o_30-60cm,soil_phh2o_60-100cm,soil_phh2o_100-200cm,soil_clay_0-5cm,soil_clay_5-15cm,soil_clay_15-30cm,soil_clay_30-60cm,soil_clay_60-100cm,soil_clay_100-200cm,soil_silt_0-5cm,soil_silt_5-15cm,soil_silt_15-30cm,soil_silt_30-60cm,soil_silt_60-100cm,soil_silt_100-200cm,soil_sand_0-5cm,soil_sand_5-15cm,soil_sand_15-30cm,soil_sand_30-60cm,soil_sand_60-100cm,soil_sand_100-200cm,soil_Longitude,soil_Latitude,soil_index_right,soil_Country,soil_soil_Longitude,soil_soil_Latitude,Country,Latitude,Longitude,PRECTOTCORR_-12.84,IMERG_PRECTOT_-12.84,PS_-12.84,WS2M_-12.84,WS2M_MAX_-12.84,DATE,PRECTOTCORR_-14.84,IMERG_PRECTOT_-14.84,PS_-14.84,WS2M_-14.84,WS2M_MAX_-14.84,PRECTOTCORR_-16.84,IMERG_PRECTOT_-16.84,PS_-16.84,WS2M_-16.84,WS2M_MAX_-16.84
112.0,79.0,60.0,41.0,30.0,24.0,90,88,89,96,96,100,65,64,63,65,65,65,297,322,295,300,301,296,363,355,367,359,366,361,341,323,338,341,333.0,343.0,-12.84029409238341,13.13032044555918,51.0,Senegal,-12.8403,13.1303,Gambia,13.13,-12.84,0.0,-999.0,100.36,3.99,5.52,2021-01-15,,,,,,,,,,
112.0,79.0,60.0,41.0,30.0,24.0,90,88,89,96,96,100,65,64,63,65,65,65,297,322,295,300,301,296,363,355,367,359,366,361,341,323,338,341,333.0,343.0,-12.84029409238341,13.13032044555918,51.0,Senegal,-12.8403,13.1303,Gambia,13.13,-12.84,0.0,-999.0,100.26,4.19,5.98,2021-01-16,,,,,,,,,,
112.0,79.0,60.0,41.0,30.0,24.0,90,88,89,96,96,100,65,64,63,65,65,65,297,322,295,300,301,296,363,355,367,359,366,361,341,323,338,341,333.0,343.0,-12.84029409238341,13.13032044555918,51.0,Senegal,-12.8403,13.1303,Gambia,13.13,-12.84,0.0,-999.0,100.32,3.8,5.48,2021-01-17,,,,,,,,,,
112.0,79.0,60.0,41.0,30.0,24.0,90,88,89,96,96,100,65,64,63,65,65,65,297,322,295,300,301,296,363,355,367,359,366,361,341,323,338,341,333.0,343.0,-12.84029409238341,13.13032044555918,51.0,Senegal,-12.8403,13.1303,Gambia,13.13,-12.84,0.0,-999.0,100.38,3.6,5.14,2021-01-18,,,,,,,,,,
112.0,79.0,60.0,41.0,30.0,24.0,90,88,89,96,96,100,65,64,63,65,65,65,297,322,295,300,301,296,363,355,367,359,366,361,341,323,338,341,333.0,343.0,-12.84029409238341,13.13032044555918,51.0,Senegal,-12.8403,13.1303,Gambia,13.13,-12.84,0.0,-999.0,100.41,3.18,4.5,2021-01-19,,,,,,,,,,
112.0,79.0,60.0,41.0,30.0,24.0,90,88,89,96,96,100,65,64,63,65,65,65,297,322,295,300,301,296,363,355,367,359,366,361,341,323,338,341,333.0,343.0,-12.84029409238341,13.13032044555918,51.0,Senegal,-12.8403,13.1303,Gambia,13.13,-12.84,0.0,-999.0,100.29,3.24,4.71,2021-01-20,,,,,,,,,,
112.0,79.0,60.0,41.0,30.0,24.0,90,88,89,96,96,100,65,64,63,65,65,65,297,322,295,300,301,296,363,355,367,359,366,361,341,323,338,341,333.0,343.0,-12.84029409238341,13.13032044555918,51.0,Senegal,-12.8403,13.1303,Gambia,13.13,-12.84,0.0,-999.0,100.3,4.22,5.75,2021-01-21,,,,,,,,,,
112.0,79.0,60.0,41.0,30.0,24.0,90,88,89,96,96,100,65,64,63,65,65,65,297,322,295,300,301,296,363,355,367,359,366,361,341,323,338,341,333.0,343.0,-12.84029409238341,13.13032044555918,51.0,Senegal,-12.8403,13.1303,Gambia,13.13,-12.84,0.0,-999.0,100.45,3.35,5.83,2021-01-22,,,,,,,,,,
112.0,79.0,60.0,41.0,30.0,24.0,90,88,89,96,96,100,65,64,63,65,65,65,297,322,295,300,301,296,363,355,367,359,366,361,341,323,338,341,333.0,343.0,-12.84029409238341,13.13032044555918,51.0,Senegal,-12.8403,13.1303,Gambia,13.13,-12.84,0.0,-999.0,100.38,3.25,6.02,2021-01-23,,,,,,,,,,
112.0,79.0,60.0,41.0,30.0,24.0,90,88,89,96,96,100,65,64,63,65,65,65,297,322,295,300,301,296,363,355,367,359,366,361,341,323,338,341,333.0,343.0,-12.84029409238341,13.13032044555918,51.0,Senegal,-12.8403,13.1303,Gambia,13.13,-12.84,0.0,-999.0,100.27,3.46,5.59,2021-01-24,,,,,,,,,,
